switch_e,switch_c,host,connection,interval,link,hop,avgSentMsg,avgSentByte,secMaxSendMsg,secMaxSendByte
2,10,18,11,1,29,12,136.48,23.8,1239,253.3
2,10,18,46,2,29,12,115.44,16.85,7151,1024.32
2,10,18,81,0,29,12,787.93,125.54,5168,887.24
2,37,2,1,0,40,39,86.26,11.14,468,63.07
2,40,10,18,10,51,42,102.19,13.77,6978,1003.19
2,60,20,30,10,81,62,155.85,21.13,22982,3294.77
2,60,20,56,2,81,62,516.89,71.58,23522,3207.43
2,10,20,22,8,31,12,41.22,6.21,2786,438.32
2,10,20,68,5,31,12,61.6,8.52,12262,1651.75
2,26,10,4,5,37,28,134.25,19.4,1909,264.79
2,34,14,4,1,49,36,236.75,34.57,1955,267.95
2,34,14,44,3,49,36,192.72,29.68,15684,2600.51
2,42,16,42,7,59,44,150.48,20.5,17421,2424.39
2,52,20,5,8,73,54,149.14,22.34,2120,375.19
2,52,20,54,1,73,54,645.9,95.16,16664,2426.37
2,52,20,97,1,73,54,719.82,103.37,55535,7852.94
1,0,5,23,1,5,1,14.43,2.42,193,37.19
2,11,16,59,7,28,13,47.23,6.45,10848,1472.73
2,25,20,14,10,46,27,87.21,12.38,5060,715.38
2,25,20,71,2,46,27,261.06,36.31,19099,2591.4
2,38,14,34,4,53,40,181.17,26.76,12958,1926.43
2,43,20,6,0,64,45,373.89,54.11,3083,426.52
2,43,20,68,4,64,45,234.27,32.07,31666,4319.73
2,60,4,1,9,65,62,97.97,12.29,744,100.27
2,2,10,2,2,13,4,27.91,4.44,102,15.56
2,14,12,36,6,27,16,60.35,8.67,7133,1068.23
2,22,16,31,4,39,24,111.76,17.49,7038,1219.25
2,22,16,55,4,39,24,123.02,17.77,16594,2454.3
2,29,20,30,3,50,31,172.77,26.9,9045,1499.29
2,29,20,77,1,50,31,483.89,69.59,25647,3645.76
2,41,16,10,2,58,43,265.23,37.47,4800,663.71
2,58,20,1,2,79,60,227.3,33.41,944,148.56
2,58,20,37,9,79,60,161.41,21.63,16937,2310.93
2,58,20,96,8,79,60,176.55,23.15,36573,4935.5
2,4,14,28,10,19,6,16.9,2.53,1776,288.71
2,27,20,91,9,48,29,82.65,10.93,27731,3737.54
2,30,10,24,9,41,32,78.98,11.16,8221,1276.73
2,42,18,17,4,61,44,225.19,31.39,10453,1428.6
2,42,18,44,2,61,44,391.08,54.17,27326,3735.21
2,42,18,67,2,61,44,347.73,50.68,32363,4818.68
2,53,20,4,9,74,55,152.17,23.02,1850,335.81
2,53,20,72,10,74,55,124.99,16.13,16082,2167.3
1,0,2,2,6,2,1,3.86,0.55,20,2.79
2,20,18,66,9,39,22,67.05,8.96,21528,2901.23
2,38,20,11,1,59,40,348.8,50.84,5141,731.67
2,38,20,61,4,59,40,187.29,27.4,27127,4166.89
2,48,14,3,1,63,50,228.21,33.19,1241,191.95
2,57,20,2,4,78,59,233.54,36.47,1407,256.62
2,57,20,43,7,78,59,175.76,25.11,27397,4198.67
2,57,20,91,0,78,59,2254.82,326.15,42727,5966.82
2,12,18,26,6,31,14,54.65,8.28,3803,607.51
2,19,20,33,4,40,21,116.84,17.15,8703,1276.36
2,19,20,66,6,40,21,85.62,11.77,19586,2699.85
2,19,20,95,8,40,21,66.52,9.02,27442,3810.63
2,38,10,17,1,49,40,403.08,55.91,9092,1227.4
2,39,16,46,9,56,41,115.8,15.72,16546,2320.74
2,59,20,88,3,80,61,393.14,53.42,43422,5851.79
1,0,10,2,2,10,1,14.07,2.24,65,10.33
1,0,10,66,0,10,1,99.66,14.32,376,56.52
1,0,10,71,6,10,1,7.2,1.06,1028,138.54
2,9,12,1,3,22,11,66.01,10.4,308,54.28
2,27,16,63,5,44,29,126.5,17.44,24472,3405.7
2,33,20,10,2,54,35,221.17,34.79,2779,474.43
2,39,2,1,7,42,41,72.81,9.15,483,65.72
2,51,10,5,10,62,53,135.97,18.62,3386,471.64
2,5,18,53,1,24,7,111.07,17.61,4197,676.84
2,27,18,22,7,46,29,118.38,16.42,10258,1385.8
2,27,18,41,8,46,29,86.67,12.37,13679,2080.06
2,27,18,81,3,46,29,201.33,27.86,33551,4587.91
2,34,20,17,0,55,36,548.92,89.36,2680,496.17
2,34,20,86,6,55,36,138.26,18.47,42766,5763.39
2,48,16,21,3,65,50,311.06,42.93,15159,2046.19
2,48,16,55,9,65,50,137.48,18.03,38979,5254.51
2,60,20,32,4,81,62,238.62,37.93,16012,2975.81
2,60,20,74,6,81,62,229.01,30.43,63411,8568.47
2,10,14,18,6,25,12,52.3,7.57,2885,410.53
2,10,14,45,10,25,12,30,4.36,3235,491.47
2,26,20,94,2,47,28,270.98,37.3,26278,3544.06
2,33,16,35,4,50,35,184.25,25.91,16456,2310.8
2,40,18,16,7,59,42,134.51,19.09,5203,794.14
2,53,20,22,9,74,55,153.07,21.33,14403,2104.08
2,53,20,57,10,74,55,142.53,18.78,23853,3289.8
2,53,20,100,5,74,55,237.26,31.71,68958,9297.13
1,0,3,9,0,3,1,15.47,2.38,64,9.55
2,17,10,12,6,28,19,75.77,10.56,3203,437.6
2,26,18,32,8,45,28,92.56,12.95,11992,1708.5
2,34,20,23,0,55,36,733.82,114.76,7114,1157.14
2,34,20,36,6,55,36,139.35,19.75,16705,2413.19
2,34,20,88,6,55,36,141.87,19.01,25068,3378.3
2,41,10,25,5,52,43,176.3,24.29,13179,1841.31
2,57,16,19,7,74,59,189.83,26.2,14072,1985.58
2,6,20,13,8,27,8,31.11,4.93,1062,175.64
2,6,20,36,3,27,8,56.77,8.76,3388,520.43
2,18,8,12,6,27,20,71.68,10.31,2836,426.47
2,32,16,5,8,49,34,124.71,18.52,1872,290.44
2,32,16,55,9,49,34,95.61,12.77,25660,3521.86
2,43,18,17,7,62,45,167.29,23.19,11783,1620.54
2,43,18,55,5,62,45,193.72,26.45,33335,4591.55
2,61,20,27,1,82,63,493.94,82.48,13234,2510.36
2,61,20,40,3,82,63,366.08,51.38,23772,3337.73
2,61,20,67,10,82,63,160.68,20.93,57911,7821.08
2,1,12,24,3,14,3,16.86,3.01,457,102.02
2,12,14,26,1,27,14,184.29,28.09,4322,660.48
2,12,14,45,6,27,14,48.92,7.38,4153,715.56
2,23,18,58,3,42,25,162.53,22.89,19470,2732.71
2,29,20,49,8,50,31,95.47,13.31,19293,2805.98
2,29,20,77,9,50,31,86.97,11.61,17426,2386.75
2,41,16,29,1,58,43,473.39,67.99,14129,2012.37
2,41,16,39,10,58,43,96.22,13.31,16677,2545.99
2,62,20,2,7,83,64,201.91,29.21,1571,232.53
2,6,16,9,10,23,8,28.67,4.22,860,116.52
2,6,16,57,10,23,8,23.81,3.24,5675,764.29
2,9,18,45,6,28,11,38.73,6.12,3356,525.83
2,23,20,18,10,44,25,75.7,10.95,5492,821.84
2,23,20,63,5,44,25,115.85,15.8,16031,2160.3
2,23,20,87,8,44,25,79.86,10.72,30609,4183.05
2,33,4,3,2,38,35,136.92,18.92,1422,199.93
2,39,16,7,1,56,41,266.01,39.98,2804,431.15
2,49,20,2,8,70,51,190.66,27.73,1894,265.76
2,4,4,4,1,9,6,36.56,5.17,284,38.84
2,9,10,6,10,20,11,33.32,4.98,706,110.69
2,23,14,11,0,38,25,324.26,50.72,1393,256.55
2,29,16,44,5,46,31,128.87,18.55,16515,2469.88
2,40,20,30,4,61,42,195.98,29.13,13687,2134.64
2,40,20,58,1,61,42,533.68,78.73,20823,3058.86
2,53,10,14,5,64,55,209.46,28.46,10265,1404.32
2,18,20,90,6,39,20,80.64,11.13,24273,3358.07
2,24,20,6,6,45,26,130.07,18.96,2270,307.19
2,24,20,90,10,45,26,72.05,9.49,27080,3647.95
2,36,6,2,10,43,38,89.1,12.06,896,121.88
2,44,12,12,3,57,46,207.77,31.22,5581,903.09
2,57,16,27,10,74,59,123.66,18.17,13633,2418.06
2,57,16,41,6,74,59,215.18,28.93,32696,4489.55
2,0,18,16,5,19,2,14.75,2.37,544,73.31
2,0,18,59,0,19,2,175.92,26.5,576,93.21
2,19,20,9,1,40,21,214.28,31.61,2276,306.33
2,19,20,72,5,40,21,99.82,13.77,18801,2573.81
2,37,2,1,6,40,39,73.06,9.31,467,63.01
2,46,20,37,8,67,48,137.64,19.47,16941,2421.93
2,61,6,3,8,68,63,135.56,19.24,2063,340.91
2,1,10,8,0,12,3,45.51,7.15,122,18.15
2,22,20,19,2,43,24,186.17,29.05,4667,758.12
2,22,20,62,10,43,24,66.14,8.81,20440,2763.05
2,22,20,98,6,43,24,97.12,13.07,34205,4610.01
2,34,18,48,2,53,36,304.34,41.94,22027,3002.79
2,48,20,19,0,69,50,639.24,106.23,6357,1213.71
2,48,20,41,4,69,50,250.04,35.01,26874,3805.35
2,51,18,18,7,70,53,181.64,25.36,12395,1757.32
2,51,18,52,4,70,53,251.56,35.6,20594,3080.31
2,51,18,69,8,70,53,162.64,21.42,49377,6654.32
1,0,10,28,5,10,1,8.45,1.26,400,53.91
2,25,10,12,8,36,27,78.99,11.07,3834,553.82
2,35,20,9,9,56,37,125.63,17.85,4544,636.28
2,35,20,71,0,56,37,1630.24,251.35,25625,4103.12
2,39,18,4,3,58,41,209.81,29.71,2592,351.56
2,39,18,69,5,58,41,171.82,24,33931,4871.84
2,59,20,2,10,80,61,176.81,25.66,1550,237.15
2,59,20,66,3,80,61,363.14,50.54,50917,7104.82
2,59,20,77,8,80,61,181.73,24.05,44214,5988.83
2,1,6,4,2,8,3,19.13,2.8,55,7.59
2,14,10,24,0,25,16,344.38,57.3,1459,309.66
2,31,16,47,1,48,33,431.17,64.2,12219,1804.76
2,43,18,25,0,62,45,911.14,134.83,10333,1555.71
2,43,18,43,3,62,45,284.15,39.86,17979,2468.9
2,43,18,81,0,62,45,1606.31,265.16,29464,5323.11
2,55,20,28,9,76,57,161.55,22.05,21492,3020.41
2,55,20,47,3,76,57,327.03,47.17,31379,4610.32
2,55,20,91,4,76,57,294.72,39.78,39794,5363.21
1,0,7,39,9,7,1,5.06,0.74,553,74.74
2,26,20,79,7,47,28,99.8,13.44,32263,4349.56
2,38,4,1,7,43,40,88.75,12.01,460,63.4
2,45,16,52,2,62,47,391.56,55.87,28244,4012.11
2,51,18,9,8,70,53,155.79,22.25,5007,755.4
2,14,14,21,6,29,16,63.67,9.33,4024,605.17
2,21,20,60,0,42,23,1187.07,178.29,12053,1773.13
2,30,4,4,2,35,32,134.7,18.24,1544,208.22
2,39,20,17,5,60,41,177.18,24.59,9541,1305.35
2,39,20,49,3,60,41,236.99,35.26,12895,2061.18
2,60,6,2,1,67,62,140.24,20.27,877,161.22
2,8,16,30,1,25,10,155.17,23.19,4090,598.02
2,13,18,36,10,32,15,42.82,6.01,4754,666
2,24,20,54,9,45,26,78.14,10.47,19928,2687.71
2,38,14,9,5,53,40,176.31,24.4,5275,711.24
2,44,20,27,6,65,46,152.39,22.53,12333,1997.96
2,44,20,39,0,65,46,1340.87,193.37,20063,2901.22
2,58,16,6,3,75,60,246.51,35.22,3891,554.54
2,4,20,1,0,25,6,64.83,11.2,252,48.38
2,4,20,66,2,25,6,67.98,9.74,6070,819.44
2,4,20,74,10,25,6,19.46,2.75,6477,907.4
2,10,18,5,6,29,12,66.29,10.11,820,110.31
2,10,18,38,3,29,12,79.21,11.84,5251,783.2
2,23,20,2,0,44,25,206.63,32.17,799,141.44
2,23,20,40,4,44,25,113.21,17.96,4979,801.64
2,23,20,85,2,44,25,243.3,33.63,29877,4043.2
2,33,18,52,3,52,35,208.45,30.36,18121,2645.36
2,41,20,78,10,62,43,112.03,14.66,30367,4127.16
2,52,18,27,1,71,54,584.38,82.41,17948,2493.3
2,52,18,63,8,71,54,153.34,20.12,25616,3464.88
2,52,18,80,1,71,54,746.09,103.22,52453,7129.12
2,4,20,98,3,25,6,44.82,6.62,7791,1128.92
2,13,16,41,6,30,15,55.34,8.23,5619,890
2,23,20,4,5,44,25,145.14,22.41,1361,200.97
2,23,20,49,1,44,25,357.22,53.53,14146,2117.61
2,35,20,63,2,56,37,369.09,51.03,35156,4753.41
2,42,18,21,3,61,44,247.16,35.97,10616,1563.2
2,42,18,34,9,61,44,124.68,16.94,19922,2769.04
2,42,18,74,1,61,44,574.39,83.58,28208,4047.84
2,60,20,77,0,81,62,2246.66,328.6,49216,7325.88
2,7,20,1,8,28,9,63.22,10.62,360,66.02
2,7,20,94,7,28,9,32.96,4.66,11238,1584.53
2,14,12,10,3,27,16,108.3,15.62,2286,311.17
2,22,18,1,7,41,24,128.37,20.07,739,124.43
2,36,20,33,8,57,38,123.15,16.83,16023,2199.22
2,36,20,60,6,57,38,147.04,19.94,23033,3170.01
2,42,6,5,6,49,44,138.68,18.74,3278,446.4
2,53,12,34,3,66,55,287.34,40.12,21643,3065.58
2,7,18,25,7,26,9,32.81,5.15,2242,383
2,23,18,8,7,42,25,105.95,15.49,2563,350.43
2,23,18,44,8,42,25,74.2,10.76,11271,1771.37
2,37,20,66,10,58,39,103.78,13.64,24644,3329.04
2,43,10,21,4,54,45,196.96,28.09,11262,1675.09
2,59,20,23,0,80,61,1096.09,153.06,15142,2086.24
2,59,20,64,6,80,61,215.88,29.53,46759,6635.77
2,59,20,79,10,80,61,154.86,20.16,42329,5730.65
2,0,10,3,3,11,2,14.87,2.46,60,9.99
2,20,20,95,7,41,22,76.67,10.55,28724,4015.01
2,35,12,4,6,48,37,122.91,17.9,1719,256.48
2,39,16,41,7,56,41,124.62,17.76,19160,2906.95
2,58,18,9,10,77,60,164.83,22.38,6895,933.79
2,58,18,59,9,77,60,156.46,20.85,40501,5643.8
1,0,10,5,6,10,1,9.64,1.55,60,10.46
1,0,10,49,2,10,1,14.47,2.11,708,95.41
2,34,16,6,2,51,36,214.91,34.51,2363,425.79
2,48,18,2,0,67,50,241.19,34.97,1200,161.72
2,48,18,41,2,67,50,402.71,57.41,25676,3674.44
2,61,20,44,7,82,63,202.15,27.57,29586,4189.18
2,6,10,14,3,17,8,45.76,7.12,1164,190.58
2,28,18,22,0,47,30,695.57,99.69,6780,934.45
2,28,18,48,6,47,30,110.85,15.74,17354,2554.58
2,31,20,25,1,52,33,396.16,60.16,7339,1041.95
2,31,20,46,2,52,33,299.13,42.4,10696,1456.99
2,31,20,87,6,52,33,131.91,17.69,41854,5640.48
2,46,2,1,4,49,48,80.63,10.02,624,81.09
2,58,8,7,2,67,60,241.76,35.44,4071,650.51
2,21,20,10,2,42,23,202.3,29.93,3328,461.94
2,21,20,63,5,42,23,103.31,14.28,19045,2616.74
2,31,8,9,7,40,33,110.88,15.59,4174,596.54
2,44,20,23,1,65,46,432.52,67.76,5248,817.84
2,44,20,79,0,65,46,2010.57,306.45,30912,4622.59
2,53,20,6,4,74,55,200.8,32.07,2027,420.88
2,53,20,39,1,74,55,572.65,86.23,21570,3329.96
2,53,20,82,2,74,55,466.94,66.79,34869,5034.26
1,0,7,6,8,7,1,6.04,0.97,55,9.54
1,0,7,38,0,7,1,54.48,8.34,370,56.19
2,12,18,39,1,31,14,208.8,32,3807,568.31
2,26,20,4,5,47,28,168.27,25.63,1484,205.9
2,26,20,65,0,47,28,1674.41,236.36,21353,2907.73
2,36,4,4,1,41,38,189.86,26.01,2123,286.46
2,39,16,56,3,56,41,240.81,34.07,14932,2086.92
2,56,18,27,5,75,58,213.24,31.7,15985,2579.97
2,56,18,38,6,75,58,213.81,28.71,17980,2452.52
2,8,20,89,8,29,10,34.63,4.78,7339,1014.57
2,15,12,7,3,28,17,112.84,16.57,1664,227.06
2,23,14,23,0,38,25,547.49,86.09,4919,810.92
2,38,16,27,1,55,40,406.8,61.29,7215,1064.87
2,38,16,46,10,55,40,104.11,13.75,21808,2966.32
2,46,18,11,2,65,48,293.38,43.4,5663,851
2,46,18,71,0,65,48,2036.6,285.43,24239,3422.2
2,53,20,32,1,74,55,575.15,83.96,19260,2819.18
2,53,20,43,4,74,55,287.21,39.21,31712,4309.74
2,53,20,69,10,74,55,141.05,18.39,46526,6286.63
2,11,10,25,9,22,13,37.08,5.25,4148,617.33
2,27,18,9,7,46,29,114.8,17.47,2686,419.92
2,27,18,59,10,46,29,79.43,10.51,20992,2829
2,27,18,75,8,46,29,90.85,12.18,30543,4186.67
2,38,20,24,0,59,40,775.49,117.05,7446,1042.34
2,38,20,61,6,59,40,148.32,20.44,31349,4439.29
2,47,4,3,4,52,49,124.34,16.9,1534,227.63
2,52,8,7,3,61,54,210.12,30.15,3547,497.19
2,8,18,30,5,27,10,43.97,6.9,2894,488.17
2,17,20,17,8,38,19,64.31,9.75,3363,546.23
2,17,20,50,5,38,19,90.16,12.77,12690,1798.14
2,17,20,87,9,38,19,58.79,7.86,16742,2256.12
2,26,16,17,2,43,28,245.76,36.14,7078,1035.71
2,26,16,50,4,43,28,149.63,20.59,19186,2626.82
2,29,18,17,0,48,31,533.95,83.29,3681,604.95
2,45,20,29,7,66,47,150.59,21.53,15844,2383.09
2,56,16,4,4,73,58,231.78,35.34,3120,517.09
2,5,18,25,6,24,7,29.27,4.6,1690,280.49
2,5,18,56,6,24,7,32.04,4.49,5838,786.76
2,14,20,45,4,35,16,72.81,11.88,5981,1118.01
2,28,4,1,9,33,30,66.34,8.96,358,48.39
2,35,16,32,2,52,37,342.95,47.89,13368,1837.47
2,42,18,11,1,61,44,367.37,52.5,5908,818.08
2,42,18,54,6,61,44,163.29,22.35,31371,4399.84
2,53,20,18,10,74,55,143.44,20.22,11538,1764.61
2,53,20,58,2,74,55,486.4,66.95,44535,6041.94
2,53,20,79,4,74,55,276.57,37.55,52605,7191.16
2,8,14,49,10,23,10,28.21,3.83,6685,922.39
2,13,16,30,4,30,15,85.72,12.41,5422,771.6
2,28,18,15,6,47,30,121.41,17.38,5485,786.51
2,28,18,54,8,47,30,92.36,12.66,17241,2470.1
2,37,20,81,7,58,39,134.84,18,45705,6161.08
2,41,16,64,10,58,43,113.83,14.84,38918,5244.81
2,52,18,10,3,71,54,271.66,38.36,6331,863.68
2,52,18,37,8,71,54,162.31,21.83,26556,3665.67
2,52,18,74,3,71,54,303.58,42.5,33417,4823.18
2,10,18,79,2,29,12,122.87,17.12,13734,1850.96
2,28,20,1,7,49,30,156.9,24.33,814,143.01
2,28,20,72,1,49,30,456.13,65.51,18010,2546.74
2,34,6,8,4,41,36,148.47,20.29,3670,499.79
2,42,16,21,4,59,44,229.75,31.68,7718,1047.08
2,55,18,20,2,74,57,357.2,54.26,11177,1810.52
2,55,18,78,10,74,57,144.83,18.84,47615,6424.04
2,12,2,1,7,15,14,30,3.97,170,21.8
2,19,8,14,5,28,21,87.08,12.51,3711,551.4
2,29,12,34,4,42,31,160.14,22.19,13915,1927.22
2,40,14,10,5,55,42,175.97,25.49,5406,797.31
2,62,18,15,1,81,64,384.24,64.06,6386,1257.88
2,62,18,47,1,81,64,711.52,106.18,32658,4966.91
2,5,20,53,2,26,7,66.15,10.36,3160,502.48
2,13,14,40,2,28,15,130.7,19.38,5790,880.42
2,19,18,7,1,38,21,198.76,30.16,1614,228.22
2,19,18,65,6,38,21,87.67,11.99,20073,2742.63
2,33,20,9,2,54,35,241.29,35.77,3429,496.63
2,47,6,6,6,54,49,122.79,18.17,2807,484.11
2,62,16,19,0,79,64,891.22,123.15,14692,2019.27
2,62,16,47,4,79,64,288.72,39.99,23811,3368.94
2,4,20,4,10,25,6,30.71,4.91,362,53
2,4,20,82,3,25,6,47.1,6.73,4371,600.03
2,21,20,20,1,42,23,303.17,45.98,4202,621.41
2,35,2,1,8,38,37,67.27,8.54,481,62.51
2,42,8,12,8,51,44,108.28,14.56,5763,816.94
2,61,20,77,9,82,63,171.25,22.39,46596,6279.54
2,4,6,4,6,11,6,21.23,3.08,260,37.29
2,26,20,31,4,47,28,140.88,21.06,9485,1479.84
2,26,20,66,1,47,28,402.16,60.35,21055,3197.35
2,26,20,93,6,47,28,111.87,15.12,23747,3241.62
2,38,2,1,0,41,40,90.23,11.73,520,70.94
2,40,8,13,1,49,42,272.31,41.82,4657,765.06
2,51,20,12,4,72,53,256.57,36.85,8114,1151.68
2,51,20,63,2,72,53,400.55,61.09,34030,5444.59
2,51,20,84,1,72,53,747.46,102.95,57543,7763.74
2,1,4,3,2,6,3,17.8,2.52,50,6.77
2,9,16,33,10,26,11,30.05,4.31,4096,621.2
2,9,16,41,4,26,11,56.52,8.6,4978,787.72
2,23,20,11,8,44,25,93.24,13.54,3275,458.5
2,23,20,91,9,44,25,74.06,9.83,28790,3879.9
2,35,4,3,2,40,37,127.78,17.18,1317,178.54
2,41,20,12,9,62,43,125.53,18.17,5744,882.38
2,41,20,60,0,62,43,1849.26,259.2,32802,4546.02
2,41,20,90,4,62,43,223.29,30.25,52078,7058.33
2,58,4,4,9,63,60,112.87,14.96,1824,276.12
2,8,20,2,5,29,10,73.46,11.8,468,85.19
2,8,20,84,6,29,10,42.87,5.9,12026,1620.69
2,13,16,46,8,30,15,50.94,6.91,9947,1340.58
2,22,20,2,1,43,24,194,30.24,907,150.05
2,7,14,15,4,22,9,53.56,7.98,1776,255.16
2,9,18,31,2,28,11,97.42,15.14,3749,586.79
2,27,20,29,8,48,29,91.66,13.07,10083,1499.4
2,27,20,74,6,48,29,116.58,15.75,30976,4205.2
2,29,10,22,10,40,31,76.46,10.36,8422,1213.18
2,42,18,4,7,61,44,168.33,24.01,2492,334.2
2,42,18,48,0,61,44,1571.52,228.61,23504,3440.16
2,59,20,23,7,80,61,182.61,26.54,14537,2292.86
2,59,20,77,6,80,61,231.64,30.84,66663,9010.67
2,3,10,13,0,14,5,91.54,14.37,622,98.14
2,9,14,3,2,24,11,84.17,13.17,490,71.8
2,9,14,37,0,24,11,397.15,63.4,3414,569.88
2,24,16,25,1,41,26,350.35,51.41,8701,1256.9
2,24,16,59,3,41,26,171.33,24.3,20197,2861.99
2,36,18,2,3,55,38,177.37,27.53,1124,193
2,47,20,72,2,68,49,430.91,60.06,46906,6501.39
2,58,10,10,1,69,60,398.59,54.41,4500,614.91
2,21,8,7,8,30,23,74.31,10.24,2267,309.24
2,30,10,25,5,41,32,122.21,17.88,8944,1396.31
2,42,12,2,4,55,44,156.57,22.23,1045,141.6
2,54,16,2,2,71,56,194.38,29.17,864,150.19
2,54,16,56,9,71,56,148.12,19.61,37395,5123.68
1,0,9,21,1,9,1,20.28,3,295,40.11
1,0,9,76,3,9,1,8.66,1.41,648,117.7
2,28,8,12,10,37,30,68.25,9.74,3442,562.72
2,31,16,8,9,48,33,99.55,14.44,1522,221.78
2,31,16,40,1,48,33,430.44,61.74,15937,2255.18
2,41,18,1,10,60,43,137.64,21.15,643,111.02
2,41,18,75,1,60,43,619.39,86.13,32812,4470.23
2,59,20,32,2,80,61,436.98,65.29,21571,3328.21
2,59,20,85,3,80,61,380.35,51.64,50367,6787.74
2,1,12,13,5,14,3,13.33,2.36,253,59.34
2,9,14,20,1,24,11,172.55,26.64,3336,519.13
2,28,18,5,3,47,30,184.33,28.4,1799,276.66
2,28,18,44,3,47,30,175.24,26.73,13914,2229.31
2,38,20,96,10,59,40,105.04,13.68,54381,7330.8
2,41,12,15,9,54,43,118,15.85,5857,795.62
2,52,18,21,6,71,54,187.86,26.57,12040,1773.19
1,0,10,17,4,10,1,10.06,1.51,244,32.88
1,0,10,41,8,10,1,6.59,0.98,640,87.46
